Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Crystal,студия танца,Курсы робототехники; Обучение танцам; Спортивные секции; Спортивно-интеллектуальные клубы,"улица Набережная, 85",цокольный этаж,,,Алматы район,Актобе,Актобе городская администрация,Актюбинская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00,+05:00,,,87767818080,,,,,,https://instagram.com/crystall_aktobe,,,https://wa.me/77767818080,,,,,,,50.293471,57.23246,https://2gis.com/firm/70000001068708975,branch
Fastrackids Aktobe,детский центр развития,Курсы робототехники; Центры раннего развития детей; Языковые школы; Помощь в обучении; Логопед,"проспект Тауелсиздик, 18а",1 этаж,,Алтын Орда м-н,Астана район,Актобе,Актобе городская администрация,Актюбинская область,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00; Сб: 10:00-14:00,+05:00,4.4,5,87056768807,,,,,,https://instagram.com/fastrackids.aktobe,,,https://wa.me/77056768807,,,,,,,50.273206,57.150995,https://2gis.com/firm/70000001055864787,branch
Innovo school ,образовательный центр ,Курсы робототехники,"улица Мангилик Ел, 2",,,Алтын Орда м-н,Астана район,Актобе,Актобе городская администрация,Актюбинская область,Казахстан,Ср: 12:00-14:00; Пт: 12:00-14:00,+05:00,5.0,2,87055751788,,,,,,https://instagram.com/innovo_school,,,https://wa.me/77055751788,,,,,,,50.279721,57.131558,https://2gis.com/firm/70000001091766265,branch
Raiman ,учебный центр,Курсы робототехники,"микрорайон Алтын Орда, 1д",,,Алтын Орда м-н,Астана район,Актобе,Актобе городская администрация,Актюбинская область,Казахстан,Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87054801778,,,,,,https://instagram.com/robotics_raiman2,,,https://wa.me/77054801778,,,,,,,50.277291,57.151279,https://2gis.com/firm/70000001083304939,branch
RaiMan,учебный центр,Курсы робототехники; Компьютерные курсы; Центры раннего развития детей,"Жилмассив Каргалы, 165л",,,Каргалы ж/м,Алматы район,Актобе,Актобе городская администрация,Актюбинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,5.0,1,87786662209,87085262209,,,,,https://instagram.com/robotics_raiman,,,https://wa.me/77786662209,https://wa.me/77085262209,,,,,,50.315916,57.339332,https://2gis.com/firm/70000001089721249,branch
RaiMan,учебный центр,Курсы робототехники,"2-й микрорайон, 19е",0 этаж,,Каргалы ж/м,Алматы район,Актобе,Актобе городская администрация,Актюбинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,2,87786662209,87085262209,,,,,https://instagram.com/robotics_raiman,,,https://wa.me/77786662209,https://wa.me/77085262209,,,,,,50.322237,57.343928,https://2gis.com/firm/70000001066101870,branch
Академия творчества,,Курсы робототехники; Курсы вокала; Театральные курсы; Языковые школы; Обучение танцам,"микрорайон Алтын Орда, 24г",0 этаж,,Алтын Орда м-н,Астана район,Актобе,Актобе городская администрация,Актюбинская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:30; Вт: 09:00-13:00, 14:00-18:30; Ср: 09:00-13:00, 14:00-18:30; Чт: 09:00-13:00, 14:00-18:30; Пт: 09:00-13:00, 14:00-18:30",+05:00,3.3,7,87132743139 (приемная),87132743135 (директор),,,,,https://instagram.com/academy_aqtobe,,,,,,,,,,50.278893,57.132592,https://2gis.com/firm/70000001032750200,branch
АС и Я,учебный центр,Курсы робототехники; Помощь в обучении; Языковые школы,"Проспект Абилкайыр-хана, 58/2",1 этаж,,8-й м-н,Астана район,Актобе,Актобе городская администрация,Актюбинская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+05:00,5.0,1,87054735959,,,,,,,,,https://wa.me/77054735959,,,,,,,50.288615,57.163193,https://2gis.com/firm/70000001036239857,branch
Кембридж,учебный центр,Курсы робототехники; Языковые школы; Спортивные секции; Курсы вокала; Помощь в обучении,"2-й микрорайон, 12в",1 этаж,,Каргалы ж/м,Алматы район,Актобе,Актобе городская администрация,Актюбинская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+05:00,,,87767818080,,,,,,https://instagram.com/cambridge.aktobe,,,https://wa.me/77767818080,,,,,,,50.322091,57.339788,https://2gis.com/firm/70000001092580629,branch
Роботрек Актобе,школа робототехники,Курсы робототехники,"Проспект Абилкайыр-хана, 62",,,8-й м-н,Астана район,Актобе,Актобе городская администрация,Актюбинская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,3,87079100616,87471084009,,,,,https://instagram.com/robotrek_aktobe,,,https://wa.me/77471084009,https://wa.me/77079100616,,,,,,50.288972,57.165737,https://2gis.com/firm/70000001033908320,branch
Abay center,частный детский сад,Курсы робототехники; Частные детские сады; Детские / подростковые клубы; Центры раннего развития детей; Спортивные секции,"микрорайон Самал-2, 58",55 кабинет; 1 этаж,050059,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00,+05:00,4.9,40,87059717111,,,,,,https://instagram.com/abaycenter1,,,https://wa.me/77059717111,,,,,,,43.229317,76.951679,https://2gis.com/firm/70000001061312672,branch
Alash electronics,магазин,Курсы робототехники; Электронные компоненты; Радиоуправляемые модели; Изготовление макетов / Прототипирование; Оборудование для образовательных учреждений,"улица Емцова, 9в",,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,27,87479001790,,,,http://alash-electronics.kz,,https://instagram.com/alash_engineer,,,https://wa.me/77479001790,,,,,,,43.258357,76.864268,https://2gis.com/firm/70000001086917700,branch
AlfaRobot Education,школа робототехники,Курсы робототехники,"улица Кунаева, 15/1 блок 2",вход в здание с ул. Уалиханова,050016,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87077738899,87017738890,,,http://alfarobot.kz,,https://instagram.com/alfarobot.kz,,,https://wa.me/77077738899,,,,,,,43.268959,76.94721,https://2gis.com/firm/70000001082756748,branch
AsKen Club,детский образовательный центр,Курсы робототехники; Языковые школы; Помощь в обучении; Дневные детские лагеря; Центры раннего развития детей,"микрорайон Орбита 1, 8Б",1 этаж,050043,Орбита-1 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.8,17,87477357221,,,,,,https://instagram.com/asken.kz,,,https://wa.me/77477357221,,,,,,,43.20035,76.885428,https://2gis.com/firm/70000001063949649,branch
Aspan Technology,производственная компания электроники,Курсы робототехники; Электронные компоненты; Радиоуправляемые модели; Аэросъёмка,"улица Толе би, 293/1",1 офис; 2 этаж,050031,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,87088446110,,,,,,,,,https://wa.me/77088446110,,,,,,,43.244007,76.846248,https://2gis.com/firm/70000001092746897,branch
Aspiration,образовательный центр,Курсы робототехники; Помощь в обучении; Центры раннего развития детей; Языковые школы,"улица Орталык, 36а",6 офис; 2 этаж,050071,Теректи м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,1,87072011148,87012313337,87756948365,,,,https://instagram.com/ica__kz,,,https://wa.me/77072011148,https://wa.me/77012313337,https://wa.me/77756948365,,,,,43.245148,76.78994,https://2gis.com/firm/70000001062704757,branch
Baglan Abdraim,центр развития для детей,Курсы робототехники; Детские / подростковые клубы; Обучение танцам; Языковые школы,"микрорайон Кулагер, 33",1 этаж,050066,Кулагер м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,4.5,7,87087685091,87018706966,,,,,https://instagram.com/baglan_abdraim_ortalygy,,,https://wa.me/77018706966,,,,,,,43.305612,76.922839,https://2gis.com/firm/70000001079010544,branch
Beles,образовательный центр,Курсы робототехники; Детские / подростковые клубы; Центры раннего развития детей; Языковые школы; Обучение танцам,"микрорайон Мамыр 1, 29",1 этаж,050036,Мамыр-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00,+05:00,4.5,22,87087082088,,,,,,https://instagram.com/beles_education_almaty,,,https://wa.me/77087082088,,,,,,,43.212207,76.842902,https://2gis.com/firm/70000001066244993,branch
Bilimdi,образовательный центр,Курсы робототехники; Помощь в обучении; Спортивные секции; Центры раннего развития детей,"микрорайон Аккент, 71",2 офис; 1 этаж,050038,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,9,87470433966,,,,,,https://instagram.com/bilimdi.kz,,,https://wa.me/77470433966,,,,,,,43.24184,76.808145,https://2gis.com/firm/70000001063741365,branch
BN-robotkids,,Курсы робототехники,"проспект Абылай хана, 60",,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87073630683,,,,,,,,,https://wa.me/77073630683,,,,,,,43.263584,76.940714,https://2gis.com/firm/70000001094733097,branch
Boshon,школа робототехники и программирования,Курсы робототехники; Компьютерные курсы; Разработка программного обеспечения,"улица Курмангазы, 48",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Вт: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Пт: 10:00-13:00, 14:00-18:00; Сб: 10:00-13:00, 14:00-18:00",+05:00,5.0,92,87001230795,,,,http://boshon.kz,http://education.boshon.kz,https://instagram.com/boshon_education,https://facebook.com/boshon.kz,,https://wa.me/77001230795,,,,,,,43.244304,76.947062,https://2gis.com/firm/70000001051198968,branch
ColorKids,детский клуб,Курсы робототехники; Помощь в обучении; Детские / подростковые клубы; Дневные детские лагеря,"8-й микрорайон, 37",,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,5.0,19,87714254513,87475567279,,,http://towncamp.ru,,https://instagram.com/color_kids_almaty,,,https://wa.me/77475567279,,,,,,,43.226824,76.864024,https://2gis.com/firm/70000001055470478,branch
Danabala,учебный  центр,Курсы робототехники; Центры раннего развития детей; Спортивные секции; Детские / подростковые клубы; Языковые школы,"Е. Брусиловского улица, 167 блок 5",1 этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,5.0,6,87711683525,,,,,,https://instagram.com/danabala23,,,https://wa.me/77711683525,,,,,,,43.242075,76.876012,https://2gis.com/firm/70000001081180964,branch
Dojo,центр развития,Курсы робототехники; Центры раннего развития детей; Спортивные секции; Обучение танцам; Центры йоги,"улица Каныша Сатпаева, 90/54",4 блок; 206 помещение,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.7,75,87073934404,,,,http://tiktok.com/@dojo.almaty,,https://instagram.com/dojo.almaty,,,https://wa.me/77073934404,,,,https://t.me/dojo_almaty,,,43.230627,76.875844,https://2gis.com/firm/70000001064772444,branch
Dosti,инновационный центр,Курсы робототехники; Детские / подростковые клубы; Обучение рабочим профессиям; Профессиональная переподготовка / Повышение квалификации,"проспект Достык, 108",403 офис; 4 этаж,050021,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00; Сб: 09:00-16:00,+05:00,,,87073667314,,,,http://www.dosti.kz,,https://instagram.com/dosti_education,,,https://wa.me/77073667314,,,,,,,43.240855,76.957434,https://2gis.com/firm/70000001083381557,branch
Dosti,инновационный центр,Курсы робототехники; Детские / подростковые клубы; Обучение рабочим профессиям; Профессиональная переподготовка / Повышение квалификации,"улица Толе би, 109Б","09, 313, 410 офис; цокольный, 3, 4 этаж",050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00; Сб: 09:00-16:00,+05:00,3.7,2,87073667314,,,,http://www.dosti.kz,,https://instagram.com/dosti_education,,,https://wa.me/77073667314,,,,,,,43.254106,76.923048,https://2gis.com/firm/70000001034716747,branch
Educare ,образовательный центр,Курсы робототехники; Языковые школы; Центры раннего развития детей; Детские / подростковые клубы; Помощь в обучении,"улица Рыскулова, 86а",1 этаж,050067,Таусамалы м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 07:00-19:00; Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00,+05:00,5.0,6,87078023366,87075785004,,,,,,,,https://wa.me/77078023366,,,,,,,43.18905,76.82952,https://2gis.com/firm/70000001093970268,branch
FasTracKids,образовательный центр,Курсы робототехники; Центры раннего развития детей,"микрорайон Аксай 1, 4а","1, 2 этаж",050031,Аксай-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.9,30,87789539788,,,aksayftk@gmail.com,http://aksay.fastrackids.kz,,https://instagram.com/fastrackids_aksay_1,https://facebook.com/Fastrackids.Aksay,,https://wa.me/77789539788,,,,,,,43.241409,76.8376,https://2gis.com/firm/70000001021831370,branch
Futurum,образовательный центр,Курсы робототехники; Компьютерные курсы; Детские / подростковые клубы; Помощь в обучении; Языковые школы,"улица Басенова, 27а",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,5.0,48,87712655020,,,,http://futurum-study.kz,,https://instagram.com/futurum.study,https://facebook.com/Futurum-108074755021429,,https://wa.me/77712655020,,,,,,,43.223044,76.895032,https://2gis.com/firm/70000001057242118,branch
Genius B,,Курсы робототехники; Детские лагеря,"улица Афцинао, 3а",2 офис; 2 этаж,050006,Мамыр м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00 (по предварительной записи),+05:00,5.0,20,87026793247,87066793247,,,,,,,,https://wa.me/77026793247,https://wa.me/77066793247,,,,,,43.208131,76.835709,https://2gis.com/firm/70000001089079134,branch
Happy Choice Programming School,академия IT-программирования,Курсы робототехники; Компьютерные курсы; Языковые школы; Помощь в обучении; Детские / подростковые клубы; Личностные тренинги,"проспект Сейфуллина, 574/6",,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00",+05:00,4.9,32,87071323656,,,happy.choice.almaty@gmail.com,http://hc-school.kz,http://tiktok.com/@happy.choice.almaty,https://instagram.com/happy.choice.almaty,,,https://wa.me/77071323656,,,,,,,43.228955,76.939299,https://2gis.com/firm/70000001063518036,branch
Indigo Club,образовательный центр,Курсы робототехники; Детские / подростковые клубы; Помощь в обучении; Языковые школы,"12-й микрорайон, 26",1 этаж,050036,12-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00; Сб: 09:00-15:00,+05:00,4.6,11,87076898814,,,,http://indigo-club.kz,,https://instagram.com/indigo_centr,https://facebook.com/indigoclubkz,https://vk.com/public189497313,https://wa.me/77076898814,,,,,,https://youtube.com/channel/UCAcT-At1ApuYbS55ggHJOkA,43.221657,76.865544,https://2gis.com/firm/70000001030537302,branch
Intellect,учебный центр,Курсы робототехники; Центры раннего развития детей; Спортивные секции; Языковые школы; Детские / подростковые клубы; Логопед,"улица Карасай батыра, 49",,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-16:00",+05:00,5.0,7,87005820101,,,info@edison.kz,http://edison.kz/?utm_source=2gis,,https://instagram.com/intellect_ortaliq,,https://vk.com/edisoncourse,https://wa.me/77005820101,,,,,,,43.201569,76.616322,https://2gis.com/firm/70000001081535489,branch
Inventor stem school,"​школа комплексной робототехники, программирования и инженерии",Курсы робототехники; Компьютерные курсы; Детские / подростковые клубы; Центры раннего развития детей,"улица Кажымукана, 16/1",,050059,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00,+05:00,5.0,17,87273382026,87767870221,,,http://inventor.kz,,https://instagram.com/stem_inventor_almaty,https://facebook.com/inventor.stem.almaty,,https://wa.me/77767870221,,,viber://chat/?number=77767870221,https://t.me/+77767870221,,,43.223889,76.957831,https://2gis.com/firm/70000001080379188,branch
Juldyzdar Academiasy,детский центр развития,Курсы робототехники; Языковые школы; Центры раннего развития детей; Спортивные секции; Логопед,"улица Жунисова, 4/2",напротив Magnum,050035,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-16:00,+05:00,4.8,56,87078770690,,,,,,https://instagram.com/juldyzdar.academiasy,,,https://wa.me/77078770690,,,,,,,43.223726,76.783992,https://2gis.com/firm/70000001069934569,branch
Junior Lab,школа робототехники,Курсы робототехники; Компьютерные курсы,"улица Мынбаева, 53а",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,2,87479001617,,,,,,https://instagram.com/juniorlabkz,,,https://wa.me/77479001617,,,,,,,43.238187,76.902797,https://2gis.com/firm/70000001068150158,branch
Key Skills Academy,образовательный центр,Курсы робототехники; Центры раннего развития детей; Детские / подростковые клубы,"микрорайон Жетысу-2, 11/1",1 этаж,050063,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00,+05:00,5.0,18,87073546788,87712633739,,,http://tiktok.com/@keyskills.academy,,https://instagram.com/keyskills.academy,,,,,,,,,,43.225968,76.843799,https://2gis.com/firm/70000001091778815,branch
Khan Tech ,детский образовательный центр,Курсы робототехники; Языковые школы; Помощь в обучении,"микрорайон Жетысу-2, 2а",вход в помещении Uniflexkids,050063,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,5,87471634623,,,,,,https://instagram.com/khan_tech_roboclub,,,https://wa.me/77471634623,,,,,,,43.224374,76.841938,https://2gis.com/firm/70000001089674893,branch
